"level","parent","Topic / Item","Count","Average","Min Val","Max Val","Rate (ms)","Percent","Burst Rate","Burst Start"
1,"/All Addresses","52.113.195.132",58,,,,0.0004,0.94%,0.2700,88.245
1,"/All Addresses","255.255.255.255",1,,,,0.0000,0.02%,0.0100,27.731
1,"/All Addresses","23.218.225.8",2,,,,0.0000,0.03%,0.0100,16.790
1,"/All Addresses","224.0.0.251",28,,,,0.0002,0.45%,0.0200,28.707
1,"/All Addresses","20.54.37.64",6,,,,0.0000,0.10%,0.0200,26.374
1,"/All Addresses","20.54.24.69",23,,,,0.0002,0.37%,0.1400,12.022
1,"/All Addresses","193.206.135.77",31,,,,0.0002,0.50%,0.1900,34.774
1,"/All Addresses","193.206.135.76",30,,,,0.0002,0.49%,0.1900,60.438
1,"/All Addresses","173.194.187.42",189,,,,0.0013,3.06%,1.6700,64.347
1,"/All Addresses","173.194.182.137",685,,,,0.0046,11.08%,4.9800,35.041
1,"/All Addresses","173.194.160.219",4327,,,,0.0291,69.98%,7.7600,99.886
1,"/All Addresses","172.224.58.8",85,,,,0.0006,1.37%,0.1700,4.023
1,"/All Addresses","172.224.58.10",40,,,,0.0003,0.65%,0.0900,81.483
1,"/All Addresses","17.57.146.163",3,,,,0.0000,0.05%,0.0300,28.857
1,"/All Addresses","17.248.145.211",38,,,,0.0003,0.61%,0.1800,46.846
1,"/All Addresses","151.100.4.2",98,,,,0.0007,1.58%,0.2400,28.837
1,"/All Addresses","151.100.4.13",32,,,,0.0002,0.52%,0.0400,11.820
1,"/All Addresses","149.154.167.91",25,,,,0.0002,0.40%,0.0600,77.247
1,"/All Addresses","142.251.209.3",9,,,,0.0001,0.15%,0.0900,136.983
1,"/All Addresses","142.251.209.22",77,,,,0.0005,1.25%,0.5800,16.620
1,"/All Addresses","142.251.209.14",66,,,,0.0004,1.07%,0.4300,16.629
1,"/All Addresses","142.250.180.142",205,,,,0.0014,3.32%,0.2800,15.784
1,"/All Addresses","142.250.180.138",12,,,,0.0001,0.19%,0.1200,47.852
1,"/All Addresses","13.89.178.26",21,,,,0.0001,0.34%,0.0900,4.924
1,"/All Addresses","104.208.16.88",45,,,,0.0003,0.73%,0.0800,118.723
1,"/All Addresses","104.103.101.75",46,,,,0.0003,0.74%,0.2500,31.185
1,"/All Addresses","10.10.57.118",6182,,,,0.0416,99.98%,7.7600,99.886
1,"/All Addresses","1.1.1.1",1,,,,0.0000,0.02%,0.0100,27.800
1,"/All Addresses","0.0.0.0",1,,,,0.0000,0.02%,0.0100,27.731
